NN5-067,NN5-107
22.146,8.858
18.359,11.38
24.592,11.777
30.563,18.821
31.089,24.306
21.949,6.76
27.933,11.494
23.987,10.573
21.673,11.21
26.092,15.83
38.375,23.852
31.299,25.638
19.582,8.092
28.104,12.443
23.198,13.421
29.484,14.286
38.427,22.08
21.883,13.62
,25.454
5.3,9.524
22.501,7.242
27.762,13.946
26.21,14.059
20.174,13.79
25.75,18.963
30.05,18.495
22.962,6.959
28.248,10.856
21.291,10.034
22.12,9.85
25.815,11.976
32.404,20.833
32.194,17.304
8.68,8.262
16.597,13.946
21.239,9.609
22.909,12.231
27.643,16.823
35.744,23.328
36.639,28.656
29.905,7.44
32.22,13.931
24.632,14.158
29.892,16.624
26.052,16.355
34.245,25.085
7.404,26.205
0,
0,17.205
21.12,15.136
26.604,10.374
23.448,14.612
31.26,20.281
32.43,18.892
22.291,5.414
25.539,12.613
23.054,9.779
22.054,9.651
27.196,16.369
25.355,21.429
0,24.532
,6.42
18.661,12.472
23.83,10.53
21.028,12.854
26.973,14.002
36.678,21.216
32.18,23.88
,
30.51,
35.389,18.452
25.329,14.583
27.709,20.281
40.571,29.138
37.27,23.257
27.656,8.773
32.259,16.709
22.975,14.47
26.381,14.697
27.735,19.6
40.163,25.142
31.339,23.654
28.117,6.505
28.183,12.868
24.737,9.878
21.568,13.024
24.974,13.974
37.178,20.026
33.14,20.026
24.934,6.604
32.128,15.561
27.262,10.757
29.116,11.224
4.498,16.752
56.878,19.515
36.599,24.887
25.763,5.258
35.665,11.494
25.829,11.919
17.346,13.535
32.22,15.731
42.662,22.477
32.391,23.469
24.619,8.844
31.957,15.646
27.157,14.47
25.894,15.42
28.34,16.454
32.654,20.181
31.102,21.457
26.894,3.713
32.128,13.067
29.05,12.245
23.435,14.357
30.642,17.474
31.457,20.196
33.561,26.148
26.17,8.362
30.852,15.83
24.816,11.919
25.368,13.846
28.367,16.823
38.388,20.762
32.167,22.463
23.948,5.456
26.394,14.158
22.83,12.302
5.195,16.794
53.446,19.785
40.15,25.496
34.85,25.51
12.336,8.588
19.621,18.495
20.555,17.361
26.565,18.424
30.8,17.474
